iter	RMSE
0	661.7245308
1	646.9427918
2	633.3356703
3	619.6329831
4	607.5289171
5	595.7023159
6	584.0476754
7	573.3228606
8	563.826709
9	553.5428915
10	544.0008552
11	534.4498526
12	526.960634
13	519.7221556
14	512.1960073
15	506.3620108
16	499.4959249
17	493.3413403
18	487.3012477
19	483.1278228
20	478.1207467
21	473.3832141
22	468.7569317
23	464.6052037
24	460.994056
25	456.7934247
26	452.4787579
27	448.1353265
28	443.5036783
29	440.5601208
30	437.395903
31	433.3133867
32	430.8664822
33	427.3408335
34	424.1710981
35	421.4081103
36	419.0254915
37	416.2094775
38	414.0383905
39	410.7988179
40	407.6417891
41	405.3730535
42	403.5051963
43	400.3094549
44	398.484428
45	396.4552345
46	393.4282213
47	390.4034725
48	388.6884868
49	385.6152557
50	384.2796337
51	382.0511873
52	380.3761958
53	378.9144606
54	377.2409963
55	375.4431034
56	374.1025297
57	371.8490219
58	369.1251782
59	368.3818591
60	366.821776
61	365.4145992
62	364.617805
63	363.1973401
64	362.0083866
65	360.5807786
66	357.9429276
67	357.2465085
68	355.6409322
69	354.5187685
70	352.9551972
71	351.9222561
72	350.8289937
73	350.4519589
74	350.0610956
75	349.4169641
76	348.539963
77	347.3935917
78	345.2661936
79	344.2423003
80	342.2420335
81	341.6324402
82	339.4174361
83	338.3115071
84	336.8519625
85	336.0975221
86	335.2106504
87	333.310078
88	332.3134753
89	329.7742614
90	328.3154753
91	327.7558525
92	327.1679299
93	325.9482938
94	324.3951907
95	323.4439872
96	323.17171
97	322.4489901
98	321.9632805
99	321.0562455
100	318.9888404
101	316.9936341
102	316.4563095
103	316.0556493
104	315.4683292
105	313.8317783
106	312.8935213
107	312.1552915
108	310.544961
109	309.6956267
110	309.2795843
111	308.4726249
112	308.2579028
113	307.5915863
114	306.8546352
115	306.2901288
116	305.8963463
117	304.9679618
118	304.4887229
119	303.685106
120	302.8125062
121	301.9923365
122	301.3758976
123	300.3749332
124	299.8425597
125	299.4717049
126	299.1913881
127	298.4330522
128	297.7180199
129	297.0963453
130	296.5185343
131	296.1903828
132	295.736768
133	294.8074316
134	293.9412341
135	293.5936956
136	293.1747866
137	292.5824587
138	292.0074413
139	291.5675008
140	291.0090967
141	290.483501
142	290.1178766
143	289.5889715
144	289.0319321
145	288.475042
146	288.0500283
147	287.5023709
148	286.3402454
149	285.9316534
150	285.229087
151	284.6566606
152	284.3754127
153	283.9005808
154	283.3687299
155	283.0155689
156	282.1172081
157	281.4807999
158	280.7295172
159	280.2938478
160	278.9859804
161	278.657602
162	277.8432713
163	277.4498858
164	276.9638969
165	276.3969154
166	275.8705785
167	275.1951282
168	274.7703209
169	273.8311503
170	273.515586
171	273.203243
172	272.92754
173	272.5282132
174	270.5313472
175	270.1829155
176	268.186643
177	267.8555203
178	267.125105
179	266.8345131
180	265.9989338
181	264.5709189
182	264.1816699
183	262.6736785
184	261.2877083
185	260.9738424
186	260.5963754
187	260.0909527
188	259.761803
189	259.1164558
190	258.753946
191	258.4295956
192	257.796307
193	256.7320839
194	256.3990527
195	255.0086743
196	254.7848898
197	254.1481803
198	253.4518468
199	251.6943524
200	251.3909483
201	251.1322441
202	250.9296446
203	249.9392067
204	249.7469249
205	249.3270608
206	248.9249313
207	248.6374687
208	247.9296262
209	247.2551105
210	246.3114523
211	245.2205896
212	244.7957244
213	244.5446082
214	243.2844369
215	242.9164701
216	242.3051653
217	241.9639688
218	241.6136046
219	241.2402582
220	239.6661902
221	239.0801619
222	237.9310628
223	237.4556573
224	236.8617238
225	236.6653083
226	236.0332551
227	235.0287445
228	234.5921406
229	234.1177231
230	233.6778559
231	233.3108501
232	232.8103843
233	232.4782311
234	231.524919
235	231.3544756
236	231.0278539
237	229.7965143
238	229.2148716
239	228.7206475
240	228.3688718
241	228.1731901
242	227.8094165
243	227.5731487
244	227.1286974
245	226.7381499
246	226.5647656
247	225.9846834
248	225.7991201
249	225.538633
250	225.3588423
251	224.9414419
252	224.71072
253	224.4208202
254	223.8681015
255	222.7720981
256	222.5690474
257	222.2320278
258	221.252181
259	221.0926916
260	220.706613
261	220.4716369
262	219.8291723
263	219.6703663
264	219.3044435
265	219.0909238
266	218.1338994
267	217.7191188
268	217.4636588
269	216.9885514
270	216.8374542
271	216.0607703
272	215.7383969
273	215.1331681
274	214.9873622
275	214.743489
276	214.0664738
277	213.6848243
278	213.2261454
279	212.9866352
280	212.598061
281	212.1560766
282	211.9346614
283	211.6553016
284	210.4543242
285	210.2952916
286	210.0770771
287	209.6650837
288	208.1731711
289	207.887382
290	207.5579461
291	207.144067
292	206.8505293
293	206.6485346
294	206.2785413
295	206.0843377
296	205.1990422
297	204.8892222
298	204.7337094
299	204.4789183
300	203.524786
301	203.2182492
302	202.9757231
303	202.6898337
304	202.3532604
305	202.1684465
306	201.946448
307	201.5271205
308	201.2492065
309	200.9114438
310	200.6236657
311	200.3541212
312	200.0837228
313	199.086918
314	198.9189581
315	198.7043808
316	198.4420119
317	198.3179094
318	198.136992
319	197.662536
320	196.8423526
321	196.5522657
322	196.384089
323	195.4327273
324	194.7498183
325	194.3932356
326	193.9943205
327	192.7978555
328	192.2275277
329	191.8901382
330	191.6126507
331	191.4804812
332	191.3689598
333	191.2619676
334	190.9711347
335	190.717979
336	190.4842067
337	189.2762343
338	188.5263984
339	188.2807472
340	188.0440493
341	187.9167077
342	187.8106127
343	187.6731477
344	187.4090055
345	187.1819056
346	187.0674151
347	186.856619
348	185.7535754
349	185.4877347
350	185.3382698
351	185.2719538
352	185.1634678
353	185.0317439
354	184.7793913
355	184.5915879
356	184.4874325
357	184.0937173
358	183.1604331
359	183.0618696
360	182.7735662
361	182.6718873
362	182.3958443
363	182.2614674
364	182.1373711
365	181.7901464
366	181.5751917
367	181.1320417
368	180.8669568
369	180.6167919
370	180.4602041
371	180.2572334
372	179.3369084
373	178.577893
374	177.846656
375	177.7548286
376	177.6691283
377	177.3542862
378	177.1941946
379	176.7473402
380	176.5510506
381	176.4598965
382	175.7930306
383	175.5571831
384	175.0253047
385	174.7650587
386	174.4104799
387	173.598231
388	173.3470171
389	172.8449674
390	172.6370575
391	171.8757704
392	171.7306751
393	171.2800381
394	171.0749942
395	170.9247188
396	169.9546691
397	169.7576908
398	169.3343428
399	169.0991723
400	168.9007178
401	167.9942835
402	167.8492368
403	167.7425073
404	167.4098652
405	167.2820905
406	167.010841
407	166.7737034
408	166.5817612
409	166.3740927
410	166.288053
411	166.1857426
412	165.8871866
413	165.7890455
414	165.5903444
415	165.4456358
416	164.9854652
417	164.7797279
418	164.6389654
419	164.4003934
420	164.0530243
421	163.9635092
422	163.4518536
423	163.3200152
424	163.1824539
425	162.8905402
426	162.3922622
427	162.110428
428	161.8486749
429	161.7207491
430	161.5722603
431	161.3454355
432	160.9851893
433	160.8260681
434	160.6455909
435	160.4571164
436	160.1529003
437	159.9893701
438	159.8960907
439	159.2546375
440	158.9359975
441	158.7432976
442	158.5486344
443	158.2922391
444	158.1062309
445	157.9848779
446	157.8244744
447	157.7367466
448	157.5465867
449	157.3546939
450	157.2528394
451	157.1458558
452	156.6300049
453	156.4844129
454	156.3174791
455	155.9524106
456	155.807341
457	155.6127485
458	155.2104552
459	154.8960651
460	154.6315974
461	154.4324954
462	154.3310022
463	153.9813073
464	153.7854067
465	153.6829191
466	153.56361
467	153.4070771
468	153.2351132
469	153.150403
470	152.9857159
471	152.8624274
472	152.637975
473	152.4335035
474	152.2739913
475	152.1042021
476	152.0217694
477	151.9297434
478	151.1819354
479	151.0587944
480	150.9085731
481	150.6123884
482	150.3297852
483	150.044345
484	149.8470664
485	149.543431
486	149.3617045
487	148.9442172
488	148.7846638
489	148.4018298
490	148.3269156
491	148.1575965
492	148.0392034
493	147.9159793
494	147.5917159
495	147.5024103
496	146.9157475
497	146.4575576
498	146.3873521
499	146.1323312
500	146.0226297
501	145.8904501
502	145.6831773
503	145.3953654
504	145.1505408
505	145.0748834
506	144.9336874
507	144.8621069
508	144.7780451
509	144.6986653
510	144.5961794
511	144.4309223
512	144.3051672
513	144.1488767
514	143.9469028
515	143.730375
516	143.4547964
517	143.3881436
518	142.9073308
519	142.8240542
520	142.4415703
521	142.1410465
522	142.0365112
523	141.9348237
524	141.7542751
525	141.6361407
526	141.5748798
527	141.4062028
528	141.0355102
529	140.543695
530	140.3923006
531	140.2327212
532	140.1757969
533	140.0442278
534	139.883693
535	139.7899158
536	139.6477769
537	139.5647981
538	139.4972528
539	139.0238222
540	138.9077526
541	138.819155
542	138.704874
543	138.5947586
544	138.5044253
545	138.3798246
546	138.3057562
547	138.237456
548	138.1739173
549	138.0752132
550	138.0134195
551	137.9505202
552	137.8211115
553	137.6967117
554	137.459603
555	137.2165608
556	136.770643
557	136.5880153
558	136.4796629
559	136.2891179
560	136.1550772
561	136.0219587
562	135.9099951
563	135.7717704
564	135.6368293
565	135.5329483
566	135.475782
567	135.3797201
568	135.269223
569	135.1407266
