iter	Passed	Remaining
0	211	211184
1	468	233803
2	682	226847
3	903	224963
4	1108	220644
5	1426	236269
6	1684	238940
7	1962	243364
8	2295	252775
9	2527	250222
10	2802	251956
11	3074	253168
12	3334	253149
13	3562	250909
14	3803	249785
15	4026	247632
16	4227	244426
17	4502	245636
18	4850	250446
19	5171	253423
20	5395	251556
21	5621	249900
22	5867	249232
23	6093	247783
24	6372	248539
25	6614	247783
26	6871	247626
27	7176	249110
28	7470	250122
29	7738	250226
30	7967	249034
31	8244	249394
32	8504	249211
33	8733	248123
34	9030	248982
35	9287	248711
36	9490	247010
37	9760	247097
38	9984	246017
3939	10833	260004040	11214	262313
41	11542	263268
42	11762	261789
43	12089	262666
44	12313	261314
45	12560	260499
46	12851	260588
47	13099	259813
48	13360	259295
49	13577	257967
50	13820	257177
51	14164	258228
52	14487	258860
53	14708	257675
54	14993	257609
55	15252	257112
56	15657	259036
57	16006	259965
58	16437	262168
59	16830	263676
60	17191	264634
61	17499	264752
62	17815	264966
63	18064	264187
64	18282	262985
65	18628	263623
66	18900	263201
67	19118	262037
68	19316	260636
69	19590	260272
70	19818	259311
71	20030	258174
72	20289	257652
73	20497	256498
74	20716	255497
75	20918	254324
76	21105	252988
77	21307	251864
78	21495	250594
79	21691	249452
80	21930	248814
81	22152	247996
82	22471	248267
83	22597	246417
84	22783	245255
85	22973	244163
86	23188	243347
87	23407	242588
88	23595	241522
89	23795	240601
90	23959	239336
91	24143	238284
92	24329	237276
93	24523	236369
94	24706	235366
95	24934	234800
96	25149	234124
97	25348	233307
98	25592	232919
99	25787	232091
100	26020	231608
101	26272	231297
102	26496	230747
103	26722	230226
104	26923	229493
105	27117	228705
106	27364	228375
107	27589	227869
108	27814	227362
109	28009	226619
110	28249	226253
111	28406	225226
112	28620	224661
113	28869	224374
114	29100	223946
115	29294	223240
116	29479	222480
117	29690	221923
118	29892	221306
119	30101	220740
120	30292	220060
121	30494	219462
122	30720	219040
123	30943	218603
124	31150	218052
125	31352	217475
126	31542	216821
127	31706	215999
128	31883	215275
129	32074	214655
130	32261	214009
131	32441	213328
132	32656	212883
133	32884	212523
134	33142	212359
135	33331	211749
136	33550	211341
137	33770	210943
138	33974	210444
139	34157	209825
140	34370	209394
141	34549	208755
142	34743	208216
143	34966	207856
144	35141	207210
145	35353	206795
146	35537	206212
147	35711	205582
148	35925	205185
149	36127	204721
150	36358	204423
151	36552	203925
152	36759	203497
153	36974	203120
154	37180	202695
155	37367	202169
156	37560	201679
157	37721	201022
158	37936	200658
159	38138	200229
160	38297	199577
161	38504	199178
162	38692	198686
163	38890	198244
164	39071	197725
165	39255	197225
166	39442	196739
167	39661	196417
168	39869	196045
169	40030	195442
170	40266	195207
171	40516	195044
172	40708	194599
173	40903	194175
174	41084	193682
175	41304	193378
176	41509	193007
177	41707	192605
178	41885	192113
179	42082	191708
180	42287	191342
181	42478	190919
182	42673	190516
183	42891	190215
184	43050	189654
185	43294	189473
186	43555	189361
187	43737	188908
188	43932	188514
189	44097	187995
190	44298	187629
191	44522	187365
192	44753	187131
193	44987	186906
194	45211	186640
195	45405	186253
196	45589	185828
197	45805	185535
198	46021	185241
199	46233	184935
200	46465	184705
201	46695	184470
202	46874	184035
203	47082	183714
204	47258	183270
205	47434	182830
206	47654	182560
207	47851	182205
208	48095	182026
209	48482	182385
210	48893	182829
211	49196	182862
212	49475	182802
213	50029	183752
214	50261	183512
215	50745	184188
216	51027	184122
217	51323	184104
218	51584	183962
219	51957	184213
220	52290	184317
221	52794	185020
222	53161	185231
223	53335	184768
224	53620	184691
225	53811	184291
226	54107	184250
227	54346	184015
228	54590	183795
229	54854	183644
230	55209	183793
231	55429	183489
232	55679	183288
233	55960	183186
234	56303	183286
235	56551	183072
236	56805	182881
237	57007	182519
238	57196	182118
239	57377	181695
240	57666	181614
241	58010	181702
242	58276	181544
243	58693	181853
244	58971	181727
245	59232	181549
246	59422	181154
247	59677	180956
248	59914	180706
249	60176	180528
250	60484	180490
251	60756	180340
252	60979	180045
253	61246	179882
254	61566	179870
255	61774	179532
256	62059	179415
257	62283	179125
258	62484	178768
259	62716	178501
260	62897	178089
261	63126	177814
262	63355	177540
263	63606	177327
264	63848	177089
265	64087	176843
266	64327	176598
267	64659	176606
268	64922	176425
269	65136	176108
270	65435	176022
271	65757	175999
272	65951	175629
273	66164	175311
274	66354	174935
275	66532	174528
276	66774	174287
277	66992	173986
